Trade #,Side,Entry Time,Entry Price,Exit Time,Exit Price,Position Size (USDT),PnL (USDT),PnL (%),Cumulative PnL (USDT)
1,SHORT,2022-01-01T04:21:59.999Z,3716.82,2022-01-01T05:27:59.999Z,3754.60,1000.00,-10.16,-1.0165,-10.16
2,SHORT,2022-01-01T06:51:59.999Z,3715.93,2022-01-01T08:49:59.999Z,3729.23,1000.00,-3.58,-0.3579,-13.74
3,SHORT,2022-01-01T09:42:59.999Z,3710.91,2022-01-01T10:11:59.999Z,3727.37,1000.00,-4.44,-0.4436,-18.18
4,SHORT,2022-01-01T10:16:59.999Z,3713.75,2022-01-01T12:54:59.999Z,3714.07,1000.00,-0.09,-0.0086,-18.27
5,SHORT,2022-01-01T14:27:59.999Z,3708.60,2022-01-01T15:33:59.999Z,3727.56,1000.00,-5.11,-0.5112,-23.38
6,SHORT,2022-01-01T22:11:59.999Z,3745.77,2022-01-01T22:39:59.999Z,3762.90,1000.00,-4.57,-0.4573,-27.95
7,SHORT,2022-01-01T23:14:59.999Z,3747.08,2022-01-01T23:35:59.999Z,3759.79,1000.00,-3.39,-0.3392,-31.34
8,SHORT,2022-01-02T01:19:59.999Z,3751.10,2022-01-02T03:39:59.999Z,3756.70,1000.00,-1.49,-0.1493,-32.84
9,SHORT,2022-01-02T03:48:59.999Z,3747.21,2022-01-02T03:59:59.999Z,3758.55,1000.00,-3.03,-0.3026,-35.86
10,SHORT,2022-01-02T04:45:59.999Z,3730.58,2022-01-02T06:48:59.999Z,3746.48,1000.00,-4.26,-0.4262,-40.12
11,SHORT,2022-01-02T06:58:59.999Z,3738.38,2022-01-02T07:33:59.999Z,3747.29,1000.00,-2.38,-0.2383,-42.51
12,SHORT,2022-01-02T08:08:59.999Z,3737.66,2022-01-02T09:20:59.999Z,3743.32,1000.00,-1.51,-0.1514,-44.02
13,SHORT,2022-01-02T10:59:59.999Z,3743.16,2022-01-02T11:23:59.999Z,3752.45,1000.00,-2.48,-0.2482,-46.50
14,SHORT,2022-01-02T11:51:59.999Z,3743.20,2022-01-02T12:49:59.999Z,3757.06,1000.00,-3.70,-0.3703,-50.21
15,SHORT,2022-01-02T14:01:59.999Z,3744.94,2022-01-02T14:08:59.999Z,3751.28,1000.00,-1.69,-0.1693,-51.90
16,SHORT,2022-01-02T18:46:59.999Z,3784.05,2022-01-02T20:10:59.999Z,3806.42,1000.00,-5.91,-0.5912,-57.81
17,SHORT,2022-01-03T00:31:59.999Z,3809.86,2022-01-03T05:30:59.999Z,3811.48,1000.00,-0.43,-0.0425,-58.24
18,SHORT,2022-01-03T07:22:59.999Z,3801.04,2022-01-03T07:26:59.999Z,3806.10,1000.00,-1.33,-0.1331,-59.57
19,SHORT,2022-01-03T09:22:59.999Z,3796.00,2022-01-03T10:03:59.999Z,3814.64,1000.00,-4.91,-0.4910,-64.48
20,SHORT,2022-01-03T13:08:59.999Z,3820.79,2022-01-03T13:24:59.999Z,3828.09,1000.00,-1.91,-0.1911,-66.39
21,SHORT,2022-01-03T13:59:59.999Z,3819.29,2022-01-03T14:37:59.999Z,3845.09,1000.00,-6.76,-0.6755,-73.14
22,SHORT,2022-01-03T14:55:59.999Z,3808.92,2022-01-03T22:22:59.999Z,3747.21,1000.00,16.20,1.6201,-56.94
23,SHORT,2022-01-04T01:02:59.999Z,3737.55,2022-01-04T03:49:59.999Z,3746.27,1000.00,-2.33,-0.2333,-59.28
24,SHORT,2022-01-04T04:56:59.999Z,3733.36,2022-01-04T05:29:59.999Z,3747.28,1000.00,-3.73,-0.3729,-63.00
25,SHORT,2022-01-04T05:45:59.999Z,3735.40,2022-01-04T06:03:59.999Z,3745.69,1000.00,-2.75,-0.2755,-65.76
26,SHORT,2022-01-04T16:29:59.999Z,3842.96,2022-01-04T16:48:59.999Z,3855.00,1000.00,-3.13,-0.3133,-68.89
27,SHORT,2022-01-04T17:09:59.999Z,3845.34,2022-01-04T17:16:59.999Z,3856.15,1000.00,-2.81,-0.2811,-71.70
28,SHORT,2022-01-04T18:01:59.999Z,3838.08,2022-01-04T21:46:59.999Z,3824.92,1000.00,3.43,0.3429,-68.27
29,SHORT,2022-01-04T22:23:59.999Z,3817.26,2022-01-05T03:04:59.999Z,3804.89,1000.00,3.24,0.3241,-65.03
30,SHORT,2022-01-05T05:11:59.999Z,3804.14,2022-01-05T06:16:59.999Z,3820.15,1000.00,-4.21,-0.4209,-69.24
31,SHORT,2022-01-05T08:13:59.999Z,3805.65,2022-01-05T08:46:59.999Z,3822.87,1000.00,-4.52,-0.4525,-73.77
32,SHORT,2022-01-05T11:13:59.999Z,3810.99,2022-01-05T13:53:59.999Z,3803.90,1000.00,1.86,0.1860,-71.91
33,SHORT,2022-01-05T16:45:59.999Z,3795.30,2022-01-06T13:09:59.999Z,3385.29,1000.00,108.03,10.8031,36.12
34,SHORT,2022-01-06T21:04:59.999Z,3426.47,2022-01-07T08:30:59.999Z,3246.35,1000.00,52.57,5.2567,88.69
35,SHORT,2022-01-07T11:08:59.999Z,3227.88,2022-01-07T12:13:59.999Z,3247.74,1000.00,-6.15,-0.6153,82.54
36,SHORT,2022-01-07T13:15:59.999Z,3217.00,2022-01-07T17:00:59.999Z,3211.22,1000.00,1.80,0.1797,84.34
37,SHORT,2022-01-07T18:47:59.999Z,3167.99,2022-01-07T19:56:59.999Z,3193.61,1000.00,-8.09,-0.8087,76.25
38,SHORT,2022-01-07T22:44:59.999Z,3183.62,2022-01-08T00:16:59.999Z,3206.26,1000.00,-7.11,-0.7111,69.14
39,SHORT,2022-01-08T02:32:59.999Z,3197.59,2022-01-08T04:23:59.999Z,3212.10,1000.00,-4.54,-0.4538,64.60
40,SHORT,2022-01-08T06:31:59.999Z,3204.73,2022-01-08T07:03:59.999Z,3225.12,1000.00,-6.36,-0.6362,58.24
41,SHORT,2022-01-08T11:06:59.999Z,3211.48,2022-01-08T21:36:59.999Z,3066.54,1000.00,45.13,4.5132,103.37
42,SHORT,2022-01-09T00:09:59.999Z,3063.31,2022-01-09T00:46:59.999Z,3107.46,1000.00,-14.41,-1.4413,88.96
43,SHORT,2022-01-09T07:47:59.999Z,3126.75,2022-01-09T07:54:59.999Z,3132.60,1000.00,-1.87,-0.1871,87.09
44,SHORT,2022-01-09T08:18:59.999Z,3122.65,2022-01-09T11:15:59.999Z,3124.56,1000.00,-0.61,-0.0612,86.47
45,SHORT,2022-01-09T12:34:59.999Z,3108.00,2022-01-09T12:46:59.999Z,3118.31,1000.00,-3.32,-0.3317,83.16
46,SHORT,2022-01-09T12:59:59.999Z,3109.74,2022-01-09T13:19:59.999Z,3126.30,1000.00,-5.33,-0.5325,77.83
47,SHORT,2022-01-09T13:30:59.999Z,3101.56,2022-01-09T16:30:59.999Z,3111.47,1000.00,-3.20,-0.3195,74.64
48,SHORT,2022-01-09T22:50:59.999Z,3182.00,2022-01-10T04:15:59.999Z,3158.60,1000.00,7.35,0.7354,81.99
49,SHORT,2022-01-10T06:42:59.999Z,3160.32,2022-01-10T07:09:59.999Z,3171.19,1000.00,-3.44,-0.3440,78.55
50,SHORT,2022-01-10T07:18:59.999Z,3161.04,2022-01-10T10:34:59.999Z,3159.26,1000.00,0.56,0.0563,79.11
51,SHORT,2022-01-10T10:44:59.999Z,3147.05,2022-01-10T16:23:59.999Z,3077.50,1000.00,22.10,2.2100,101.21
52,SHORT,2022-01-10T17:35:59.999Z,2978.48,2022-01-10T18:51:59.999Z,3056.02,1000.00,-26.03,-2.6033,75.18
53,SHORT,2022-01-10T20:13:59.999Z,3025.94,2022-01-10T20:35:59.999Z,3047.27,1000.00,-7.05,-0.7049,68.13
54,SHORT,2022-01-11T00:44:59.999Z,3064.49,2022-01-11T01:36:59.999Z,3085.76,1000.00,-6.94,-0.6941,61.19
55,SHORT,2022-01-11T06:55:59.999Z,3101.00,2022-01-11T07:03:59.999Z,3112.59,1000.00,-3.74,-0.3738,57.45
56,SHORT,2022-01-11T08:57:59.999Z,3106.01,2022-01-11T09:45:59.999Z,3128.32,1000.00,-7.18,-0.7183,50.27
57,SHORT,2022-01-11T10:33:59.999Z,3111.43,2022-01-11T12:10:59.999Z,3122.21,1000.00,-3.46,-0.3465,46.81
58,SHORT,2022-01-11T13:53:59.999Z,3108.01,2022-01-11T15:07:59.999Z,3143.94,1000.00,-11.56,-1.1560,35.24
59,SHORT,2022-01-11T22:28:59.999Z,3225.60,2022-01-11T22:42:59.999Z,3232.53,1000.00,-2.15,-0.2148,33.10
